# Seq length,Count
1.000000000000000000e+00,6.151400000000000000e+04
2.000000000000000000e+00,2.342900000000000000e+04
3.000000000000000000e+00,9.410000000000000000e+02
4.000000000000000000e+00,6.390000000000000000e+02
5.000000000000000000e+00,1.040000000000000000e+03
6.000000000000000000e+00,2.180000000000000000e+03
7.000000000000000000e+00,4.680000000000000000e+02
8.000000000000000000e+00,3.730000000000000000e+02
9.000000000000000000e+00,7.230000000000000000e+02
1.000000000000000000e+01,2.510000000000000000e+02
1.100000000000000000e+01,1.042000000000000000e+03
1.200000000000000000e+01,1.580000000000000000e+02
1.300000000000000000e+01,9.105300000000000000e+04
1.400000000000000000e+01,1.187360000000000000e+05
1.500000000000000000e+01,1.128020000000000000e+05
1.600000000000000000e+01,1.178610000000000000e+05
1.700000000000000000e+01,1.490380000000000000e+05
1.800000000000000000e+01,1.503630000000000000e+05
1.900000000000000000e+01,3.041200000000000000e+04
2.000000000000000000e+01,9.216200000000000000e+04
2.100000000000000000e+01,6.598800000000000000e+04
2.200000000000000000e+01,1.008590000000000000e+05
2.300000000000000000e+01,1.108940000000000000e+05
2.400000000000000000e+01,1.259770000000000000e+05
2.500000000000000000e+01,1.062990000000000000e+05
2.600000000000000000e+01,9.556100000000000000e+04
2.700000000000000000e+01,7.455600000000000000e+04
2.800000000000000000e+01,4.668000000000000000e+04
2.900000000000000000e+01,2.189600000000000000e+04
3.000000000000000000e+01,7.232000000000000000e+03
3.100000000000000000e+01,1.522700000000000000e+04
3.200000000000000000e+01,2.794800000000000000e+04
3.300000000000000000e+01,4.146300000000000000e+04
3.400000000000000000e+01,5.380800000000000000e+04
3.500000000000000000e+01,6.025200000000000000e+04
3.600000000000000000e+01,5.646000000000000000e+04
3.700000000000000000e+01,5.420800000000000000e+04
3.800000000000000000e+01,4.828200000000000000e+04
3.900000000000000000e+01,4.546500000000000000e+04
4.000000000000000000e+01,5.359400000000000000e+04
4.100000000000000000e+01,4.847364000000000000e+06
4.200000000000000000e+01,2.801673000000000000e+06
4.300000000000000000e+01,2.942569000000000000e+06
4.400000000000000000e+01,2.226000000000000000e+03
4.500000000000000000e+01,7.380000000000000000e+02
4.600000000000000000e+01,6.080000000000000000e+02
4.700000000000000000e+01,1.277000000000000000e+03
4.800000000000000000e+01,2.950100000000000000e+04
4.900000000000000000e+01,3.695300000000000000e+04
5.000000000000000000e+01,2.927100000000000000e+04
5.100000000000000000e+01,1.246800000000000000e+04
